,interaction,befor CBM50,befor GH23,befor GH3,befor GT2,befor GT4,befor GT51,befor CBM48,befor GH1,befor GH13_11,befor GH13_9,befor GH16_3,befor GH2,befor CBM32,befor CBM5,befor GH0,befor GH13_10,befor GH13_16,befor GH13_26,befor GH15,befor GH20,befor GH24,befor GH29,befor GH43_34,befor GH92,befor GH95,after CBM50,after GH23,after GH3,after GT2,after GT4,after GT51,after CBM48,after GH1,after GH13_11,after GH13_9,after GH16_3,after GH2,after CBM32,after CBM5,after GH0,after GH13_10,after GH13_16,after GH13_26,after GH15,after GH20,after GH24,after GH29,after GH43_34,after GH92,after GH95,predict
0,-4.737554412,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.782958745956421
1,3.3815452510000004,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00645960308611393
2,1.48037551,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9403488636016846
3,2.740651797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8960025906562805
4,4.276391834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0853850841522217
5,-0.024019757000000003,1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2235144078731537
6,-5.466084816,1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1.60564124584198
7,2.0618708530000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,2.613758087158203
8,10.83824515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.3686940670013428
9,2.9834830980000002,1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,2.66105055809021
