	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9
K01955	0.20461538461538462	0.13228070175438597	0.3016	0.0	0.0	0.15	0.27	0.15	0.1725552608311229	0.1725552608311229	0.1	0.17322834645669294	0.23	0.0	0.15	0.5	0.2	0.2388888888888889	0.0	0.3286	0.0	0.15	0.33	0.1725552608311229	0.15	0.15	0.2	0.6	0.4	0.15	0.14	0.18442857142857141	0.18133333333333332	0.13	0.18442857142857141	0.621609195402299	0.5	0.3016	0.13228070175438597	0.2	0.18442857142857141	0.23555555555555557	0.5	0.13228070175438597	0.18442857142857141	0.14	0.3016	0.15
K01933	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.10026246719160106	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K03702	0.19	0.13912280701754387	0.3074	0.0	0.0	0.15	0.27	0.18	0.17	0.17	0.09	0.1010498687664042	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18399999999999997	0.16	0.132680412371134	0.18399999999999997	0.52	0.25	0.3074	0.13912280701754387	0.2	0.18399999999999997	0.08	0.25	0.13912280701754387	0.18399999999999997	0.14	0.3074	0.15
K00128	0.40923076923076923	0.0	0.3074	0.0	0.0	0.0	1.44	0.21	0.48895667550839966	0.48895667550839966	0.35	0.41338582677165353	1.2852941176470587	0.0	0.2464285714285714	0.5	0.2	0.22222222222222224	0.0	0.33480000000000004	0.0	0.2464285714285714	1.186595744680851	0.48895667550839966	0.15	0.2464285714285714	0.4	0.5	0.8	0.39999999999999997	0.0	0.5415714285714286	0.0	0.13	0.5415714285714286	0.0	0.0	0.3074	0.0	0.0	0.5415714285714286	0.2577777777777778	0.0	0.0	0.5415714285714286	0.0	0.3074	0.0
K01114	0.4969230769230769	0.0	0.29	0.0	0.0	0.15	0.0	0.0	0.17	0.17	0.0	0.16863517060367456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.2331168831168831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.15
K00981	0.32153846153846155	0.16421052631578947	0.5277999999999999	0.0	0.0	0.15202702702702703	0.45000000000000007	0.21	0.17511052166224583	0.17511052166224583	0.09	0.10183727034120736	0.4194117647058824	0.0	0.17500000000000002	0.5	0.26666666666666666	0.2	0.0	0.31	0.0	0.17500000000000002	0.4072340425531915	0.17511052166224583	0.15454545454545454	0.17500000000000002	0.4	0.45	0.4	0.15	0.14021571648690295	0.31114285714285717	0.16	0.13335051546391752	0.31114285714285717	0.52	0.25	0.5277999999999999	0.16421052631578947	0.2	0.31114285714285717	0.08	0.25	0.16421052631578947	0.31114285714285717	0.18200000000000002	0.5277999999999999	0.15202702702702703
K01425	0.19	0.25087719298245614	0.0	0.0	0.0	0.16418918918918918	0.27	0.15	0.0	0.0	0.09	0.16049868766404202	0.0	0.0	0.15	0.5	0.2	0.2	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.15	0.2	0.45	0.0	0.15	0.14	0.18	0.0	0.13469072164948456	0.18	0.52	0.0	0.0	0.25087719298245614	0.0	0.18	0.16444444444444442	0.0	0.25087719298245614	0.18	0.14	0.0	0.16418918918918918
K00793	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.341	0.0	0.15	0.33	0.17	0.15454545454545454	0.15	0.4	0.45	0.4	0.15	0.14	0.18657142857142858	0.16	0.1306701030927835	0.18657142857142858	0.52	0.25	0.29	0.13	0.2	0.18657142857142858	0.08	0.25	0.13	0.18657142857142858	0.14	0.29	0.15
K01682	0.2923076923076923	0.2691228070175439	0.58	0.0	0.0	0.28986486486486485	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.3142857142857143	1.0	0.0	0.6777777777777778	0.0	0.48360000000000003	0.0	0.3142857142857143	0.0	0.0	0.2883116883116883	0.3142857142857143	0.4	0.0	0.0	0.3	0.2789214175654854	0.36142857142857143	0.36266666666666664	0.30154639175257736	0.36142857142857143	0.0	0.0	0.58	0.2691228070175439	0.0	0.36142857142857143	0.0	0.0	0.2691228070175439	0.36142857142857143	0.28	0.58	0.28986486486486485
K03644	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.10170603674540682	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.26948051948051943	0.15	0.2	0.45	0.4	0.15	0.14	0.18685714285714286	0.16	0.13	0.18685714285714286	0.52	0.0	0.29	0.13	0.0	0.18685714285714286	0.08	0.0	0.13	0.18685714285714286	0.14	0.29	0.15
