1,2-Dichloroethane degradation	1- and 2-Methylnaphthalene degradation	3-Chloroacrylic acid degradation	Aminophosphonate metabolism	Amyotrophic lateral sclerosis (ALS)	Androgen and estrogen metabolism	Antigen processing and presentation	Apoptosis	Biosynthesis of ansamycins	Biosynthesis of vancomycin group antibiotics	Biotin metabolism	Bisphenol A degradation	Caprolactam degradation	Cyanoamino acid metabolism	Cytokine-cytokine receptor interaction	D-Alanine metabolism	D-Arginine and D-ornithine metabolism	D-Glutamine and D-glutamate metabolism	Epithelial cell signaling in Helicobacter pylori infection	Ethylbenzene degradation	Fluorobenzoate degradation	Folate biosynthesis	Inositol metabolism	Insulin signaling pathway	Linoleic acid metabolism	Lipoic acid metabolism	N-Glycan biosynthesis	Neuroactive ligand-receptor interaction	Nucleotide excision repair	Penicillin and cephalosporin biosynthesis	Polyketide sugar unit biosynthesis	Prostate cancer	Protein export	Regulation of actin cytoskeleton	Riboflavin metabolism	Streptomycin biosynthesis	Synthesis and degradation of ketone bodies	Terpenoid biosynthesis	Tetrachloroethene degradation	Tetracycline biosynthesis	Type I diabetes mellitus	Type IV secretion system	Ubiquitin mediated proteolysis	Zeatin biosynthesis	beta-Lactam resistance
11	0	0	0	0.18	0	0	0.080329897	0.18	-0.235977909	0.100758468	0.05	-0.13	0	0	0	0	0	0	0.05	0	0	-0.13	0	0	0	-0.13	0	-0.13	0.18	0.18	0.065142857	0	-0.13	0.18	0	0	0.18	-0.130670103	0	0.05	0	0	0.18	0.048659794	0
12	0	0	0	0.18	0	0	0.081	0.18	-0.126739348	0.076340852	0.05	0	0	0	0	0	0	0	0.034035088	0	0	-0.13	0	0	0	-0.13	0	0	0.18	0.18	0.195142857	0	-0.13	0.18	-0.13	0	0.18	-0.13	0	0.05	0	0	0.18	0.05	0
13	0	0	0	0	0	0	-0.3994	0	0.27	-0.1674	-0.15	0	0	0	0	0	0.14	0	0	0	0	0.14	0	0	0	0.14	-0.3422	0	0	-0.29	-0.15	0	0.14	0	0.14	0	-0.29	0.14	0	-0.15	0	-0.3132	0	-0.15	0
14	0	0	0	-0.15	0	0	-0.00999999999999998	0	0.0106756760000001	-0.082972973	-0.00999999999999998	-0.15	0	0	0	0	0.14	0	0	0	0	-0.00999999999999998	0	0	0	-0.00999999999999998	0	0	0	0	-0.00999999999999998	0	-0.00999999999999998	0	0.14	-0.15	0	0.14	0	-0.00999999999999998	0	0	0	-0.00999999999999998	0
15	0	0	0	0	0	0	0.3994	0	-0.27	0.1674	0.15	0	0	0	0	0	-0.14	0	0	0	0	-0.14	0	0	0	-0.14	0.3422	0	0	0.29	0.15	0	-0.14	0	-0.14	0	0.29	-0.14	0	0.15	0	0.3132	0	0.15	0
16	0	0	0	-0.15	0	0	0.3894	0	-0.259324324	0.084427027	0.14	-0.15	0	0	0	0	0	0	0	0	0	-0.15	0	0	0	-0.15	0.3422	0	0	0.29	0.14	0	-0.15	0	0	-0.15	0.29	0	0	0.14	0	0.3132	0	0.14	0
17	0	0	0	0.15	0	0	0.00999999999999998	0	-0.0106756760000001	0.082972973	0.00999999999999998	0.15	0	0	0	0	-0.14	0	0	0	0	0.00999999999999998	0	0	0	0.00999999999999998	0	0	0	0	0.00999999999999998	0	0.00999999999999998	0	-0.14	0.15	0	-0.14	0	0.00999999999999998	0	0	0	0.00999999999999998	0
18	0	0	0	0.15	0	0	-0.3894	0	0.259324324	-0.084427027	-0.14	0.15	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.15	-0.3422	0	0	-0.29	-0.14	0	0.15	0	0	0.15	-0.29	0	0	-0.14	0	-0.3132	0	-0.14	0
19	0	0	0	0	0	0	-0.4094	0	0.218596491	-0.152312281	-0.16	0	0	0	0	0	0	0	0.145964912	0	0	0.13	0	0	0	0.13	-0.3422	0	0	-0.29	-0.29	0	0.13	0	0.13	0	-0.29	0.13	0	-0.16	0	-0.3132	0	-0.16	0
20	0	0	0	0	0	0	0.13	0	0.508596491	0.155087719	0.13	0	0	0	0	0	0	0	0.145964912	0	0	0.13	0	0	0	0.13	0	0	0	0	0	0	0.13	0	0.13	0	0	0.13	0	0.13	0	0	0	0.13	0
21	0	0	0	0	0	0	0.4094	0	-0.218596491	0.152312281	0.16	0	0	0	0	0	0	0	-0.145964912	0	0	-0.13	0	0	0	-0.13	0.3422	0	0	0.29	0.29	0	-0.13	0	-0.13	0	0.29	-0.13	0	0.16	0	0.3132	0	0.16	0
22	0	0	0	0	0	0	0.5394	0	0.29	0.3074	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3422	0	0	0.29	0.29	0	0	0	0	0	0.29	0	0	0.29	0	0.3132	0	0.29	0
23	0	0	0	0	0	0	-0.13	0	-0.508596491	-0.155087719	-0.13	0	0	0	0	0	0	0	-0.145964912	0	0	-0.13	0	0	0	-0.13	0	0	0	0	0	0	-0.13	0	-0.13	0	0	-0.13	0	-0.13	0	0	0	-0.13	0
24	0	0	0	0	0	0	-0.5394	0	-0.29	-0.3074	-0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3422	0	0	-0.29	-0.29	0	0	0	0	0	-0.29	0	0	-0.29	0	-0.3132	0	-0.29	0
25	0	0	0	-0.15	0	0	-0.15	0	-0.549324324	-0.222972973	-0.15	-0.15	0	0	0	0	0	0	0	0	0	-0.15	0	0	0	-0.15	0	0	0	0	-0.15	0	-0.15	0	0	-0.15	0	0	0	-0.15	0	0	0	-0.15	0
26	0	0	0	0	0	0	0	0	-0.63	-0.45	0	0	0	0	0	0	-0.45	0	0	0	0	0	0	0	0	0	0	0	-0.27	0	-0.45	0	0	0	0	-0.27	-0.27	0	0	-0.27	0	-0.36	0	-0.27	0
27	0	0	0	0.15	0	0	0.15	0	0.549324324	0.222972973	0.15	0.15	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.15	0	0	0	0	0.15	0	0.15	0	0	0.15	0	0	0	0.15	0	0	0	0.15	0
28	0	0	0	0.15	0	0	0.15	0	-0.080675676	-0.227027027	0.15	0.15	0	0	0	0	-0.45	0	0	0	0	0.15	0	0	0	0.15	0	0	-0.27	0	-0.3	0	0.15	0	0	-0.12	-0.27	0	0	-0.12	0	-0.36	0	-0.12	0
29	0	0	0	0	0	0	0	0	0.63	0.45	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0.45	0	0	0	0	0.27	0.27	0	0	0.27	0	0.36	0	0.27	0
