"","specise1","specise2","interaction"
"2","Species10","Species11","-1.20980965212591"
"3","Species10","Species12","-4.73755579993182"
"4","Species11","Species10","3.38154527106552"
"5","Species11","Species12","1.48037579137943"
"6","Species12","Species10","2.74064986136926"
"7","Species12","Species11","4.27639342181195"
