"","specise1","specise2","interaction"
"2","Species13","Species14","0.821942114418944"
"3","Species13","Species15","-5.21794612986552"
"4","Species14","Species13","2.98160194622192"
"5","Species14","Species15","2.1761993674328"
"6","Species15","Species13","2.10799628970329"
"7","Species15","Species14","6.35580226981005"
