"","specise1","specise2","interaction"
"2","Species16","Species17","-0.578051673648637"
"3","Species16","Species18","-0.361776234047784"
"4","Species17","Species16","2.67878688145223"
"5","Species17","Species18","-4.89107320889859"
"6","Species18","Species16","2.0398879225959"
"7","Species18","Species17","7.83072244425171"
