,gene,mdi
0,after CBM50,0.25755706
1,befor GT2,0.16443406
2,after GH23,0.13309415
3,befor GH23,0.13078202
4,after GT2,0.1274788
5,befor GT51,0.10126194
6,befor GT4,0.085392036
