,gene,mdi
0,after CBM48,0.22611138
1,after GH23,0.13474794
2,befor GT2,0.12526602
3,befor CBM48,0.11900434
4,befor GH23,0.059161134
5,after GT51,0.05167275
6,befor GH1,0.05090997
7,befor GT4,0.040758524
8,after CBM5,0.038639933
9,befor CBM50,0.03400667
10,after CBM50,0.026279766
11,after GT4,0.025617452
