ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.7375544123932,-1.7052324
1,3.38154525131165,1.4388487
2,1.48037551045497,1.4388487
3,2.74065179652201,1.7452538
4,4.27639183435738,1.8887641
5,-0.0240197574001175,0.07674259
6,-5.46608481643351,-1.6666849
7,2.06187085305738,1.1538975
8,10.8382451536931,4.8282456
9,2.98348309842397,1.9511342
10,3.2559838865509,1.7747715
11,-0.0240239283010076,0.07674259
12,-5.46607366771061,-1.6666849
13,2.06186989267863,1.1538975
14,10.8382643164072,4.8282456
15,2.98348415743011,1.9511342
16,3.25598058857534,1.7747715
17,0.821942286357564,0.67689925
18,-5.21794627166616,1.8887639
19,2.9816020366708,1.7207215
20,2.17619909996156,1.6111917
21,2.10799622921893,1.7118704
22,6.35580170951689,2.0140352
23,-0.578051602983226,-0.032934964
24,-0.361773312425201,-0.032934964
25,2.6787866107213,1.3381253
26,-4.89106987771864,0.9539563
27,2.03988894231167,1.3381253
28,7.83071347857213,0.9539563
29,1.50337184447279,1.6627805
30,-5.23752560580725,-1.6896055
31,0.502246403045728,0.80589336
32,2.45981471991647,0.80589336
33,1.48281239741209,0.9841662
34,6.19916155012982,2.047554
35,1.39073729673347,1.7125988
36,3.09185648380192,1.9599855
37,0.656579975907508,1.4205885
38,-20.6955830438049,-7.2756934
39,3.25127574943932,1.9599853
40,2.40662568501442,1.7125986
41,-1.34317778603521,-0.2898813
42,-0.658642353029462,-0.28988105
43,3.34539165572684,1.797507
44,-15.6500774779942,-7.2756925
45,5.39761027044253,1.7811692
46,-4.25447754282741,-0.5030356
47,-1.88154295299806,-0.28988105
48,-0.753414431243679,-0.28988105
49,3.81970349258158,1.199584
50,-1.17748292888258,1.1003678
51,3.19078454277991,1.9599855
52,2.78260084062939,1.7125986
