,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species10,11577,16934,20005,23026,21988,21036,22831,19777,21421,23401,20123
Species11,11466,3889,144,0,0,0,0,0,0,0,0
Species12,7111,213,0,14,0,0,0,9,0,24,0
