,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species16,19720,19866,21522,22212,20462,21287,21031,22078,26055,26606,25409
Species17,3866,1947,473,164,34,72,101,74,98,110,97
Species18,2032,142,154,0,164,130,0,144,135,0,143
