,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species7,12448,18394,31733,8216,19572,17327,24269,20022,19851,23204,21786
Species8,10498,5723,155,0,0,0,0,0,0,0,0
Species9,6193,1132,0,0,0,0,0,0,0,0,0
