,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species19,9329,14042,9126,9119,15951,10597,6959,8039,16266,15670,1016
Species20,8130,6140,7921,11329,10885,6598,14871,7935,6922,5471,15408
Species21,6543,142,6,8,10,0,0,0,0,0,0
