,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species4,16225,11321,10145,888,23,10043,10548,10619,11406,10056,12583
Species5,2029,3710,215,54,0,2,0,0,0,0,0
Species6,12101,2,0,0,0,0,0,0,0,0,0
