,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species22,16575,9443,6997,7183,6840,5681,6429,3697,5191,4061,5897
Species23,3716,6313,8507,11674,11754,13643,13867,15038,15806,13325,17122
Species24,3168,201,11,0,0,0,0,0,0,0,0
