,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species1,12391,21530,8149,38728,27828,27496,18041,14258,18577,20252,13861
Species5,8487,966,7,0,7,0,0,0,0,0,0
Species6,5043,4370,0,0,0,0,0,0,0,0,0
Species4,5041,136,0,0,0,0,0,0,0,0,0
Species2,1038,34,0,35,20,17,20,0,12,16,0
Species3,1017,0,0,0,0,0,0,0,0,0,0
