,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species19,13822,4843,3179,2715,2820,2878,381,1799,1634,441,165
Species22,7735,12141,9594,9644,8448,6791,1759,10964,10162,16023,5139
Species23,3958,4560,4488,8643,9121,7872,1406,10013,7152,6393,12774
Species20,3717,130,0,0,0,0,0,0,0,0,0
Species21,2343,826,208,95,160,221,27,308,748,1815,883
Species24,1068,8,0,0,0,0,0,0,0,0,0
