,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species18,7059,10570,8597,10434,9327,11899,4071,6416,12139,13661,4745
Species17,6814,152,356,106,111,14,13,23,0,0,0
Species16,5895,92,7,0,0,0,0,0,0,0,0
Species13,5194,5342,7209,5922,5658,5494,10220,10809,5489,5597,14475
Species14,3271,0,0,0,0,0,0,0,0,0,0
Species15,1995,23,0,0,0,0,0,0,0,0,0
