,day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
Species1,23628,23380,21779,21723,6038,18161,15982,11419,18737,29111,28907
Species2,8525,2054,1273,164,7,0,10,5,0,0,8
Species3,2158,59,0,0,0,0,0,0,0,0,0
