,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species13,9125,26796,23229,21429,24071,24808,22431,18498,21598,18145,22058
Species14,5321,2924,264,17,0,29,12,9,14,0,23
Species15,7287,1154,292,0,0,0,0,0,0,0,0
