,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species1,11541,7911,800,38,24,19,69,0,21,36,0
Species22,4804,11859,22224,27402,22503,24665,23565,24032,17878,19055,19028
Species2,3295,1274,847,93,12,12,25,16,12,8,7
Species3,3131,286,108,18,3,0,2,0,0,0,3
Species23,1078,0,0,0,0,0,0,0,0,0,0
Species24,1076,15,8,3,0,0,0,0,0,0,0
