,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species11,10460,15737,31390,17092,18788,20817,18603,17904,27251,20118,28045
Species10,7615,3601,275,0,0,0,0,0,0,0,0
Species7,6306,805,74,0,0,0,0,0,0,0,0
Species9,3572,112,25,0,0,0,0,0,0,0,0
Species8,2339,1219,266,0,0,0,0,0,0,0,0
Species12,2316,687,0,0,0,0,0,0,0,0,0
